200.057	576.108
203.219	586.44
206.378	584.557
209.539	584.949
212.696	581.715
215.854	581.255
219.009	582.961
222.165	585.993
225.318	588.143
228.472	589.274
231.622	585.911
234.774	591.034
237.923	596.165
241.07	593.306
244.217	601.061
247.364	587.988
250.508	592.309
253.652	576.331
256.794	580.311
259.937	576.539
263.077	556.369
266.216	567.91
269.354	555.302
272.491	564.773
275.626	575.768
278.761	585.609
281.895	608.768
285.027	631.92
288.159	644.877
291.287	658.368
294.417	664.928
297.545	677.412
300.672	674.856
303.799	673.993
306.922	680.095
310.046	675.815
313.169	672.319
316.289	659.294
319.41	662.885
322.528	643.001
325.647	643.171
328.764	632.879
331.879	627.317
334.993	614.409
338.107	619.911
341.219	618.888
344.332	611.539
347.441	611.311
350.549	613.217
353.659	609.581
356.765	611.277
359.87	614.045
362.975	624.314
366.078	626.518
369.18	635.409
372.281	645.275
375.383	659.903
378.482	682.44
381.58	721.21
384.675	736.096
387.771	757.551
390.865	774.719
393.959	790.589
397.052	798.762
400.144	796.294
403.234	792.933
406.322	790.445
409.411	773.588
412.498	753.189
415.583	733.008
418.668	704.252
421.75	680.106
424.834	663.854
427.916	647.314
430.996	628.581
434.074	621.581
437.153	620.177
440.229	622.085
443.306	614.337
446.381	606.553
449.454	592.399
452.526	591.481
455.599	600.754
458.669	584.905
461.738	591.414
464.806	592.168
467.873	585.805
470.939	598.803
474.004	592.553
477.067	600.817
480.13	593.972
483.192	602.364
486.253	597.978
489.313	597.083
492.369	609.06
495.427	609.386
498.484	606.591
501.54	611.669
504.592	611.51
507.646	613.937
510.698	619.055
513.748	617.666
516.799	617.206
519.846	610.117
522.895	619.575
525.94	618.316
528.985	613.418
532.03	613.479
535.073	609.638
538.114	612.01
541.157	607.927
544.196	612.343
547.234	619.87
550.272	616.81
553.308	627.206
556.344	627.624
559.378	628.75
562.411	636.488
565.444	643.433
568.475	627.6
571.505	629.979
574.535	642.339
577.563	643.223
580.588	644.369
583.615	645.952
586.64	644.822
589.662	643.259
592.686	635.837
595.708	633.469
598.727	635.329
601.747	635.919
604.765	641.478
607.783	632.617
610.798	633.47
613.813	638.829
616.828	636.984
619.84	649.868
622.851	647.932
625.862	654.67
628.873	651.081
631.881	660.822
634.889	661.87
637.895	665.432
640.9	663.545
643.904	661.076
646.908	677.297
649.91	668.816
652.909	684.173
655.91	681.147
658.909	676.449
661.907	682.943
664.903	686.661
667.899	686.13
670.895	694.723
673.887	695.121
676.88	689.828
679.871	692.249
682.862	693.49
685.851	690.44
688.84	686.371
691.827	685.745
694.812	693.203
697.799	682.957
700.782	697.569
703.765	701.789
706.746	691.368
709.727	682.895
712.706	682.252
715.685	671.949
718.663	664.493
721.639	672.361
724.615	672.014
727.59	677.699
730.563	707.864
733.536	729.85
736.506	740.848
739.477	736.253
742.446	735.646
745.413	713.951
748.381	719.655
751.346	709.9
754.312	706.075
757.275	706.583
760.239	694.378
763.2	697.907
766.16	687.912
769.121	687.91
772.079	678.825
775.036	672.568
777.992	661.037
780.947	665.796
783.901	650.042
786.855	657.141
789.807	645.047
792.758	647.6
795.709	650.176
798.658	649.231
801.606	644.889
804.554	660.806
807.498	646.209
810.444	650.346
813.388	652.505
816.33	655.442
819.273	656.541
822.212	666.016
825.153	658.966
828.091	664.995
831.027	674.421
833.965	684.799
836.9	693.193
839.834	701.476
842.769	727.749
845.701	737.536
848.632	758.059
851.562	809.396
854.491	872.234
857.419	950.981
860.347	1068.15
863.273	1201.57
866.196	1333.15
869.121	1419.37
872.044	1426.23
874.966	1332.64
877.886	1168.37
880.807	1019.58
883.726	909.453
886.643	837.653
889.561	804.042
892.475	780.457
895.389	767.867
898.304	761.288
901.216	759.25
904.127	748.78
907.037	749.164
909.948	757.135
912.856	745.386
915.764	744.188
918.67	741.113
921.575	733.381
924.479	728.974
927.381	720.11
930.284	717.302
933.185	703.532
936.086	715.062
938.983	710.186
941.882	703.938
944.78	702.008
947.675	703.903
950.571	697.305
953.464	692.445
956.358	697.601
959.249	696.911
962.139	685.419
965.028	672.026
967.919	669.493
970.806	680.476
973.693	676.923
976.578	676.835
979.463	675.372
982.346	674.11
985.229	682.272
988.111	671.903
990.992	680.027
993.87	683.692
996.749	684.69
999.627	688.808
1002.5	694.414
1005.38	699.266
1008.25	691.851
1011.13	701.866
1014	715.922
1016.87	723.636
1019.74	736.011
1022.61	755.752
1025.48	787.156
1028.35	797.682
1031.21	831.998
1034.08	874.384
1036.94	908.568
1039.8	930.437
1042.67	935.086
1045.53	929.207
1048.39	888.156
1051.25	859.6
1054.1	825.937
1056.96	793.865
1059.82	771.473
1062.67	750.391
1065.53	738.38
1068.38	736.253
1071.23	743.896
1074.08	753.433
1076.93	754.802
1079.78	788.642
1082.63	813.7
1085.48	837.38
1088.32	851.888
1091.17	873.676
1094.01	877.088
1096.85	871.221
1099.7	861.663
1102.54	846.6
1105.38	833.005
1108.21	830.866
1111.05	843.45
1113.89	854.616
1116.72	895.408
1119.56	937.411
