"","wavenumber","spectra"
"8086cc9e6afa8124b60c6a1de44e34a2106",732,0
"8086cc9e6afa8124b60c6a1de44e34a2107",738,0
"8086cc9e6afa8124b60c6a1de44e34a2108",744,0
"8086cc9e6afa8124b60c6a1de44e34a2109",750,0
"8086cc9e6afa8124b60c6a1de44e34a2110",756,0
"8086cc9e6afa8124b60c6a1de44e34a2111",762,0
"8086cc9e6afa8124b60c6a1de44e34a2112",768,0
"8086cc9e6afa8124b60c6a1de44e34a2113",774,0
"8086cc9e6afa8124b60c6a1de44e34a2114",780,0
"8086cc9e6afa8124b60c6a1de44e34a2115",786,0
"8086cc9e6afa8124b60c6a1de44e34a2116",792,0
"8086cc9e6afa8124b60c6a1de44e34a2117",798,0
"8086cc9e6afa8124b60c6a1de44e34a2118",804,0
"8086cc9e6afa8124b60c6a1de44e34a2119",810,0
"8086cc9e6afa8124b60c6a1de44e34a2120",816,0
"8086cc9e6afa8124b60c6a1de44e34a2121",822,0
"8086cc9e6afa8124b60c6a1de44e34a2122",828,0
"8086cc9e6afa8124b60c6a1de44e34a2123",834,0.022
"8086cc9e6afa8124b60c6a1de44e34a2124",840,0.016
"8086cc9e6afa8124b60c6a1de44e34a2125",846,0.006
"8086cc9e6afa8124b60c6a1de44e34a2126",852,0
"8086cc9e6afa8124b60c6a1de44e34a2127",858,0
"8086cc9e6afa8124b60c6a1de44e34a2128",864,0
"8086cc9e6afa8124b60c6a1de44e34a2129",870,0
"8086cc9e6afa8124b60c6a1de44e34a2130",876,0.002
"8086cc9e6afa8124b60c6a1de44e34a2131",882,0.003
"8086cc9e6afa8124b60c6a1de44e34a2132",888,0.003
"8086cc9e6afa8124b60c6a1de44e34a2133",894,0.008
"8086cc9e6afa8124b60c6a1de44e34a2134",900,0.017
"8086cc9e6afa8124b60c6a1de44e34a2135",906,0.036
"8086cc9e6afa8124b60c6a1de44e34a2136",912,0.069
"8086cc9e6afa8124b60c6a1de44e34a2137",918,0.102
"8086cc9e6afa8124b60c6a1de44e34a2138",924,0.121
"8086cc9e6afa8124b60c6a1de44e34a2139",930,0.133
"8086cc9e6afa8124b60c6a1de44e34a2140",936,0.151
"8086cc9e6afa8124b60c6a1de44e34a2141",942,0.184
"8086cc9e6afa8124b60c6a1de44e34a2142",948,0.234
"8086cc9e6afa8124b60c6a1de44e34a2143",954,0.298
"8086cc9e6afa8124b60c6a1de44e34a2144",960,0.333
"8086cc9e6afa8124b60c6a1de44e34a2145",966,0.321
"8086cc9e6afa8124b60c6a1de44e34a2146",972,0.267
"8086cc9e6afa8124b60c6a1de44e34a2147",978,0.186
"8086cc9e6afa8124b60c6a1de44e34a2148",984,0.114
"8086cc9e6afa8124b60c6a1de44e34a2149",990,0.064
"8086cc9e6afa8124b60c6a1de44e34a2150",996,0.035
"8086cc9e6afa8124b60c6a1de44e34a2151",1002,0.017
"8086cc9e6afa8124b60c6a1de44e34a2152",1008,0.005
"8086cc9e6afa8124b60c6a1de44e34a2153",1014,0
"8086cc9e6afa8124b60c6a1de44e34a2154",1020,0
"8086cc9e6afa8124b60c6a1de44e34a2155",1026,0
"8086cc9e6afa8124b60c6a1de44e34a2156",1032,0
"8086cc9e6afa8124b60c6a1de44e34a2157",1038,0.002
"8086cc9e6afa8124b60c6a1de44e34a2158",1044,0.004
"8086cc9e6afa8124b60c6a1de44e34a2159",1050,0.006
"8086cc9e6afa8124b60c6a1de44e34a2160",1056,0.01
"8086cc9e6afa8124b60c6a1de44e34a2161",1062,0.017
"8086cc9e6afa8124b60c6a1de44e34a2162",1068,0.027
"8086cc9e6afa8124b60c6a1de44e34a2163",1074,0.038
"8086cc9e6afa8124b60c6a1de44e34a2164",1080,0.056
"8086cc9e6afa8124b60c6a1de44e34a2165",1086,0.085
"8086cc9e6afa8124b60c6a1de44e34a2166",1092,0.11
"8086cc9e6afa8124b60c6a1de44e34a2167",1098,0.113
"8086cc9e6afa8124b60c6a1de44e34a2168",1104,0.088
"8086cc9e6afa8124b60c6a1de44e34a2169",1110,0.034
"8086cc9e6afa8124b60c6a1de44e34a2170",1116,0
"8086cc9e6afa8124b60c6a1de44e34a2171",1122,0
"8086cc9e6afa8124b60c6a1de44e34a2172",1128,0
"8086cc9e6afa8124b60c6a1de44e34a2173",1134,0
"8086cc9e6afa8124b60c6a1de44e34a2174",1140,0
"8086cc9e6afa8124b60c6a1de44e34a2175",1146,0
"8086cc9e6afa8124b60c6a1de44e34a2176",1152,0
