"","wavenumber","spectra"
"1beb1205d19ec8968a7325c3bd5c983f105",726,0
"1beb1205d19ec8968a7325c3bd5c983f106",732,0
"1beb1205d19ec8968a7325c3bd5c983f107",738,0
"1beb1205d19ec8968a7325c3bd5c983f108",744,0
"1beb1205d19ec8968a7325c3bd5c983f109",750,0
"1beb1205d19ec8968a7325c3bd5c983f110",756,0
"1beb1205d19ec8968a7325c3bd5c983f111",762,0
"1beb1205d19ec8968a7325c3bd5c983f112",768,0
"1beb1205d19ec8968a7325c3bd5c983f113",774,0
"1beb1205d19ec8968a7325c3bd5c983f114",780,0
"1beb1205d19ec8968a7325c3bd5c983f115",786,0
"1beb1205d19ec8968a7325c3bd5c983f116",792,0
"1beb1205d19ec8968a7325c3bd5c983f117",798,0
"1beb1205d19ec8968a7325c3bd5c983f118",804,0
"1beb1205d19ec8968a7325c3bd5c983f119",810,0
"1beb1205d19ec8968a7325c3bd5c983f120",816,0
"1beb1205d19ec8968a7325c3bd5c983f121",822,0
"1beb1205d19ec8968a7325c3bd5c983f122",828,0
"1beb1205d19ec8968a7325c3bd5c983f123",834,0
"1beb1205d19ec8968a7325c3bd5c983f124",840,0
"1beb1205d19ec8968a7325c3bd5c983f125",846,0
"1beb1205d19ec8968a7325c3bd5c983f126",852,0
"1beb1205d19ec8968a7325c3bd5c983f127",858,0
"1beb1205d19ec8968a7325c3bd5c983f128",864,0
"1beb1205d19ec8968a7325c3bd5c983f129",870,0
"1beb1205d19ec8968a7325c3bd5c983f130",876,0
"1beb1205d19ec8968a7325c3bd5c983f131",882,0
"1beb1205d19ec8968a7325c3bd5c983f132",888,0
"1beb1205d19ec8968a7325c3bd5c983f133",894,0
"1beb1205d19ec8968a7325c3bd5c983f134",900,0
"1beb1205d19ec8968a7325c3bd5c983f135",906,0
"1beb1205d19ec8968a7325c3bd5c983f136",912,0
"1beb1205d19ec8968a7325c3bd5c983f137",918,0
"1beb1205d19ec8968a7325c3bd5c983f138",924,0
"1beb1205d19ec8968a7325c3bd5c983f139",930,0
"1beb1205d19ec8968a7325c3bd5c983f140",936,0
"1beb1205d19ec8968a7325c3bd5c983f141",942,0
"1beb1205d19ec8968a7325c3bd5c983f142",948,0
"1beb1205d19ec8968a7325c3bd5c983f143",954,0
"1beb1205d19ec8968a7325c3bd5c983f144",960,0
"1beb1205d19ec8968a7325c3bd5c983f145",966,0
"1beb1205d19ec8968a7325c3bd5c983f146",972,0
"1beb1205d19ec8968a7325c3bd5c983f147",978,0
"1beb1205d19ec8968a7325c3bd5c983f148",984,0
"1beb1205d19ec8968a7325c3bd5c983f149",990,0
"1beb1205d19ec8968a7325c3bd5c983f150",996,0
"1beb1205d19ec8968a7325c3bd5c983f151",1002,0
"1beb1205d19ec8968a7325c3bd5c983f152",1008,0
"1beb1205d19ec8968a7325c3bd5c983f153",1014,0
"1beb1205d19ec8968a7325c3bd5c983f154",1020,0.001
"1beb1205d19ec8968a7325c3bd5c983f155",1026,0.002
"1beb1205d19ec8968a7325c3bd5c983f156",1032,0.002
"1beb1205d19ec8968a7325c3bd5c983f157",1038,0.002
"1beb1205d19ec8968a7325c3bd5c983f158",1044,0.002
